alg,size,time_ms,comp,alloc,maxdepth
MergeSort,100,0.008417,640,100,4
QuickSort,100,0.006292,691,0,5
MergeSort,1000,0.037042,10224,1000,7
QuickSort,1000,0.040125,11959,0,7
MergeSort,10000,0.515000,127292,10000,11
QuickSort,10000,0.463875,146554,0,10
MergeSort,100,0.012833,661,100,4
QuickSort,100,0.007084,679,0,5
MergeSort,1000,0.037042,10208,1000,7
QuickSort,1000,0.044000,10662,0,7
MergeSort,10000,0.515167,126843,10000,11
QuickSort,10000,0.485292,152188,0,10
MergeSort,100,0.017833,661,100,4
QuickSort,100,0.011875,609,0,5
MergeSort,1000,0.149500,10208,1000,7
QuickSort,1000,0.085917,10580,0,7
MergeSort,10000,1.316625,126843,10000,11
QuickSort,10000,0.485125,160718,0,9
MergeSort,100,0.017875,661,100,4
QuickSort,100,0.007416,677,0,5
MergeSort,1000,0.196958,10208,1000,7
QuickSort,1000,0.039209,11783,0,7
MergeSort,10000,1.879000,126843,10000,11
QuickSort,10000,0.466125,155025,0,10
MergeSort,100,0.015584,661,100,4
QuickSort,100,0.007125,679,0,4
MergeSort,1000,0.036583,10208,1000,7
QuickSort,1000,0.040959,10096,0,7
MergeSort,10000,0.514542,126843,10000,11
QuickSort,10000,0.461792,155365,0,9
MergeSort,100,0.028041,661,100,4
QuickSort,100,0.014167,619,0,4
MergeSort,1000,0.188875,10208,1000,7
QuickSort,1000,0.041209,12644,0,7
MergeSort,10000,1.795709,126843,10000,11
QuickSort,10000,0.516000,154385,0,9
MergeSort,100,0,831600,661,100,4
QuickSort,100,0,474900,624,0,5
MergeSort,1000,0,560900,10208,1000,7
QuickSort,1000,0,762200,10728,0,7
MergeSort,10000,2,502600,126843,10000,11
QuickSort,10000,2,519000,151188,0,10
MergeSort,100,0,874400,661,100,4
QuickSort,100,0,729500,648,0,5
MergeSort,1000,0,759200,10208,1000,7
QuickSort,1000,1,137800,10756,0,8
MergeSort,10000,2,512400,126843,10000,11
QuickSort,10000,2,639400,145599,0,9
MergeSort,100,1,018300,661,100,4
QuickSort,100,0,638100,654,0,5
MergeSort,1000,0,610600,10208,1000,7
QuickSort,1000,0,857800,11231,0,7
MergeSort,10000,2,402800,126843,10000,11
QuickSort,10000,2,787100,158226,0,10
MergeSort,100,0,838900,661,100,4
QuickSort,100,0,568000,629,0,5
MergeSort,1000,0,498700,10208,1000,7
QuickSort,1000,0,898000,10839,0,7
MergeSort,10000,2,432200,126843,10000,11
QuickSort,10000,2,492000,154352,0,9
MergeSort,100,0,672000,661,100,4
QuickSort,100,0,519000,580,0,5
MergeSort,1000,0,573000,10208,1000,7
QuickSort,1000,0,836500,10983,0,7
MergeSort,10000,2,516200,126843,10000,11
QuickSort,10000,1,897600,152776,0,9
