size,time_ms,comp,alloc,maxdepth
10,4.107958,38,20,3
10,0.021667,44,20,3
10,0.022750,46,20,3
10,0.028416,57,20,3
10,0.022625,52,20,3
20,0.039583,125,40,4
20,0.058958,129,40,4
20,0.034334,120,40,4
20,0.040250,131,40,4
20,0.024041,119,40,4
50,0.075000,387,100,5
50,0.210125,392,100,5
50,0.062167,370,100,5
50,0.101000,357,100,5
50,0.072084,362,100,5
100,0.093084,861,200,6
100,0.098000,873,200,6
100,0.064541,912,200,6
100,0.069583,964,200,6
100,0.068750,867,200,6
200,0.111000,2114,400,7
200,0.099458,2083,400,7
200,0.103167,2134,400,7
200,0.091041,2106,400,7
200,0.078792,2032,400,7
500,0.208208,6092,1000,8
500,0.211167,5982,1000,8
500,0.196541,6070,1000,8
500,0.195625,6032,1000,8
500,0.197292,6139,1000,8
1000,0.423250,13544,2000,9
1000,0.396333,13307,2000,9
1000,0.435084,13542,2000,9
1000,0.494708,13491,2000,9
1000,0.849875,13429,2000,9
2000,1.499750,29591,4000,10
2000,1.540750,29466,4000,10
2000,1.577792,29793,4000,10
2000,1.790167,29336,4000,10
2000,1.545291,29587,4000,10
5000,4.329417,83406,10000,12
5000,4.349791,83357,10000,12
5000,4.721167,83238,10000,12
5000,5.465750,83296,10000,12
5000,4.292833,83227,10000,12
10000,10.368625,180425,20000,13
10000,9.755208,179861,20000,13
10000,10.495625,179751,20000,13
10000,10.258416,180529,20000,13
10000,9.999334,180812,20000,13
